# wave	flux	error	model
# 
1.398040893554687500e+03 6.793891604216185584e-15 4.810026409936090080e-16 9.999999999955959673e-01
1.398070800781250000e+03 6.545659705177366700e-15 4.722001687266239121e-16 9.999999999955965224e-01
1.398100708007812500e+03 7.495688470686000943e-15 5.008801219855032842e-16 9.999999999955970775e-01
1.398130615234375000e+03 5.964369792596947023e-15 4.522878005652145993e-16 9.999999999955976326e-01
1.398160522460937500e+03 6.129532323465589419e-15 4.581588506204301720e-16 9.999999999955981878e-01
1.398190429687500000e+03 5.905598835068181021e-15 4.451378895783226434e-16 9.999999999955986318e-01
1.398220336914062500e+03 4.453008057778151674e-15 3.954062029648585178e-16 9.999999999955991870e-01
1.398250244140625000e+03 4.107817567816553911e-15 3.801284020441307110e-16 9.999999999955997421e-01
1.398280151367187500e+03 4.284470947647648145e-15 3.807709559439619029e-16 9.999999999956002972e-01
1.398310058593750000e+03 4.749411991076743500e-15 4.013502831419951721e-16 9.999999999956008523e-01
1.398339965820312500e+03 5.601871031391154887e-15 4.324736088163479803e-16 9.999999999956014074e-01
1.398369873046875000e+03 5.444591412646134637e-15 4.305675729267889910e-16 9.999999999956019625e-01
1.398399780273437500e+03 5.263972224555995769e-15 4.221212250745651250e-16 9.999999999956025176e-01
1.398429809570312500e+03 5.554632850955729811e-15 4.424370191468839000e-16 9.999999999956029617e-01
1.398459716796875000e+03 6.097121878288324498e-15 4.541694842575400275e-16 9.999999999956035168e-01
1.398489624023437500e+03 6.184638592948059690e-15 4.597785364342580044e-16 9.999999999956040719e-01
1.398519531250000000e+03 6.208565156125625539e-15 4.558991784753925122e-16 9.999999999956046270e-01
1.398549438476562500e+03 5.790478163690375435e-15 4.407879518776981840e-16 9.999999999956051822e-01
1.398579345703125000e+03 4.753041950772201804e-15 4.056932857603639869e-16 9.999999999956057373e-01
1.398609252929687500e+03 5.143671523189256509e-15 4.174300654450951911e-16 9.999999999956062924e-01
1.398639160156250000e+03 5.468000438692928108e-15 4.358429470618479769e-16 9.999999999956068475e-01
1.398669067382812500e+03 7.586162600881074525e-15 5.046803882429189061e-16 9.999999999956072916e-01
1.398698974609375000e+03 6.209445223357822757e-15 4.830705660552119755e-16 9.999999999956078467e-01
1.398728881835937500e+03 7.484633843691385069e-15 5.002862460103596129e-16 9.999999999956084018e-01
1.398758789062500000e+03 7.607635733126918293e-15 5.030485263304742931e-16 9.999999999956089569e-01
1.398788696289062500e+03 6.707853809082356400e-15 4.791737380418093634e-16 9.999999999956095120e-01
1.398818603515625000e+03 7.731900548686807678e-15 5.114571812165453427e-16 9.999999999956100671e-01
1.398848510742187500e+03 8.118033223186889302e-15 5.183919458348347064e-16 9.999999999956106222e-01
1.398878417968750000e+03 7.248464964370888303e-15 4.930256384051733606e-16 9.999999999956110663e-01
1.398908325195312500e+03 7.215351905363875940e-15 4.906391230762843694e-16 9.999999999956116215e-01
1.398938232421875000e+03 7.261782863400567667e-15 4.969698473240630101e-16 9.999999999956121766e-01
1.398968139648437500e+03 7.297987592665058226e-15 5.009628665165381887e-16 9.999999999956127317e-01
1.398998046875000000e+03 8.284811469402419276e-15 5.254380423461288072e-16 9.999999999956132868e-01
1.399027954101562500e+03 7.303268843091188789e-15 4.926744373694180463e-16 9.999999999956138419e-01
1.399057861328125000e+03 8.504618213280804723e-15 5.325699538828916092e-16 9.999999999956143970e-01
1.399087768554687500e+03 8.327443484670675466e-15 5.285995398821962798e-16 9.999999999956148411e-01
1.399117675781250000e+03 7.857443536964103803e-15 5.175343249757397273e-16 9.999999999956153962e-01
1.399147583007812500e+03 7.212237365216821877e-15 4.949785787441865568e-16 9.999999999956159513e-01
