# wave	flux	error	model
# 
1.396605224609375000e+03 1.062636613845825195e+00 6.846206635236740112e-02 9.993853358348665505e-01
1.396635131835937500e+03 1.024266362190246582e+00 6.752591580152511597e-02 9.993386043000972441e-01
1.396665039062500000e+03 1.052201390266418457e+00 6.819587200880050659e-02 9.992872625924095198e-01
1.396694946289062500e+03 1.113993048667907715e+00 7.050403207540512085e-02 9.992305661003167971e-01
1.396724853515625000e+03 9.991996288299560547e-01 6.651379913091659546e-02 9.991676527017232523e-01
1.396754760742187500e+03 1.050680637359619141e+00 6.886007636785507202e-02 9.990975615276767030e-01
1.396784667968750000e+03 8.870615959167480469e-01 6.468464434146881104e-02 9.990192642957536062e-01
1.396814575195312500e+03 9.219868183135986328e-01 6.436613947153091431e-02 9.989317103747221704e-01
1.396844482421875000e+03 7.813485264778137207e-01 6.000922620296478271e-02 9.988338869305110057e-01
1.396874389648437500e+03 6.404700875282287598e-01 5.390493944287300110e-02 9.987248941614078612e-01
1.396904296875000000e+03 7.409756183624267578e-01 5.940414220094680786e-02 9.986040316853362908e-01
1.396934204101562500e+03 7.916383743286132812e-01 6.180733814835548401e-02 9.984708859568549588e-01
1.396964111328125000e+03 9.806931018829345703e-01 6.642087548971176147e-02 9.983254022640035696e-01
1.396994018554687500e+03 1.011223673820495605e+00 6.699570268392562866e-02 9.981679210824577764e-01
1.397023925781250000e+03 1.024062752723693848e+00 6.717683374881744385e-02 9.979991592177006599e-01
1.397053833007812500e+03 9.750784635543823242e-01 6.597912311553955078e-02 9.978201216161842746e-01
1.397083740234375000e+03 9.479502439498901367e-01 6.539690494537353516e-02 9.976319385662236749e-01
1.397113769531250000e+03 9.925818443298339844e-01 6.677433848381042480e-02 9.974356330686617866e-01
1.397143676757812500e+03 1.000533461570739746e+00 6.645537912845611572e-02 9.972318327148906869e-01
1.397173583984375000e+03 1.078911185264587402e+00 6.937679648399353027e-02 9.970204485323751475e-01
1.397203491210937500e+03 9.880707263946533203e-01 6.623807549476623535e-02 9.968003500243870496e-01
1.397233398437500000e+03 9.542633891105651855e-01 6.613495945930480957e-02 9.965690715810838762e-01
1.397263305664062500e+03 9.217872023582458496e-01 6.403376907110214233e-02 9.963225892517755256e-01
1.397293212890625000e+03 1.011502981185913086e+00 6.711514294147491455e-02 9.960552059597340691e-01
1.397323120117187500e+03 9.898576140403747559e-01 6.699473410844802856e-02 9.957595758021446919e-01
1.397353027343750000e+03 1.140898585319519043e+00 7.147900015115737915e-02 9.954268841526467959e-01
1.397382934570312500e+03 1.129394531250000000e+00 7.096026092767715454e-02 9.950471817761471494e-01
1.397412841796875000e+03 1.058089494705200195e+00 6.955527514219284058e-02 9.946098504487957959e-01
1.397442749023437500e+03 9.807494282722473145e-01 6.606594473123550415e-02 9.941041556068080931e-01
1.397472656250000000e+03 9.591234326362609863e-01 6.574530154466629028e-02 9.935198156855015172e-01
1.397502563476562500e+03 9.610062837600708008e-01 6.553588807582855225e-02 9.928474829330445894e-01
1.397532470703125000e+03 9.306006431579589844e-01 6.471036374568939209e-02 9.920789841611087345e-01
1.397562377929687500e+03 1.064485788345336914e+00 6.921043992042541504e-02 9.912071184818027625e-01
1.397592285156250000e+03 1.004289865493774414e+00 6.720266491174697876e-02 9.902247696311016201e-01
1.397622192382812500e+03 9.062606096267700195e-01 6.379464268684387207e-02 9.891230818807420500e-01
1.397652099609375000e+03 9.699002504348754883e-01 6.618275493383407593e-02 9.878884739873642351e-01
1.397682006835937500e+03 1.000619769096374512e+00 6.680871546268463135e-02 9.864983035532612909e-01
1.397711914062500000e+03 9.494521021842956543e-01 6.598003208637237549e-02 9.849150102971110377e-01
1.397741821289062500e+03 1.051159977912902832e+00 6.833316385746002197e-02 9.830785473889538384e-01
1.397771728515625000e+03 1.039915204048156738e+00 6.812539696693420410e-02 9.808968990321554893e-01
1.397801635742187500e+03 1.059760689735412598e+00 6.884039938449859619e-02 9.782346021236388856e-01
1.397831542968750000e+03 9.320126771926879883e-01 6.477522104978561401e-02 9.748996389970725485e-01
1.397861450195312500e+03 1.025583624839782715e+00 6.753066927194595337e-02 9.706300741141550281e-01
1.397891357421875000e+03 9.838685393333435059e-01 6.706912070512771606e-02 9.650834991842310862e-01
1.397921264648437500e+03 1.052187085151672363e+00 6.856615841388702393e-02 9.578345416381950361e-01
1.397951171875000000e+03 1.109123945236206055e+00 7.136895507574081421e-02 9.483876815265213089e-01
1.397981079101562500e+03 1.097858309745788574e+00 6.973562389612197876e-02 9.362131968475211341e-01
1.398010986328125000e+03 1.028121113777160645e+00 6.777878850698471069e-02 9.208118115329155806e-01
1.398040893554687500e+03 9.166595339775085449e-01 6.489884108304977417e-02 9.018076092893287932e-01
1.398070800781250000e+03 8.832034468650817871e-01 6.371379643678665161e-02 8.790593551318155452e-01
1.398100708007812500e+03 1.011432170867919922e+00 6.758635491132736206e-02 8.527698448658462826e-01
1.398130615234375000e+03 8.048366308212280273e-01 6.103206053376197815e-02 8.235654464189675616e-01
1.398160522460937500e+03 8.271577954292297363e-01 6.182685121893882751e-02 7.925182683024014629e-01
1.398190429687500000e+03 7.969716787338256836e-01 6.007219851016998291e-02 7.610939872101831760e-01
1.398220336914062500e+03 6.009665727615356445e-01 5.336301028728485107e-02 7.310272301815471385e-01
1.398250244140625000e+03 5.544034242630004883e-01 5.130327120423316956e-02 7.041464065306530795e-01
1.398280151367187500e+03 5.782688856124877930e-01 5.139210820198059082e-02 6.821821673652008755e-01
1.398310058593750000e+03 6.410477757453918457e-01 5.417190864682197571e-02 6.665930828918007478e-01
