# wave	flux	error	model
# 
1.398669067382812500e+03 1.024442553520202637e+00 6.815250962972640991e-02 9.010352969864726669e-01
1.398698974609375000e+03 8.385639190673828125e-01 6.523699313402175903e-02 9.202009033138820460e-01
1.398728881835937500e+03 1.010815382003784180e+00 6.756469607353210449e-02 9.357819028544205331e-01
1.398758789062500000e+03 1.027469396591186523e+00 6.794055551290512085e-02 9.481327052119903342e-01
1.398788696289062500e+03 9.059842824935913086e-01 6.471874564886093140e-02 9.577368472940288591e-01
1.398818603515625000e+03 1.044338464736938477e+00 6.908190250396728516e-02 9.651156137513701161e-01
1.398848510742187500e+03 1.096538066864013672e+00 7.002145797014236450e-02 9.707630678848215844e-01
1.398878417968750000e+03 9.791221618652343750e-01 6.659787148237228394e-02 9.751082512565935057e-01
1.398908325195312500e+03 9.746895432472229004e-01 6.627824157476425171e-02 9.784998089286355283e-01
1.398938232421875000e+03 9.810020923614501953e-01 6.713619083166122437e-02 9.812061282452919642e-01
1.398968139648437500e+03 9.859337806701660156e-01 6.767841428518295288e-02 9.834243502958806005e-01
1.398998046875000000e+03 1.119296431541442871e+00 7.098785042762756348e-02 9.852931640309733341e-01
